"Suburb","Population"
"Abbotsbury",4194
"Abbotsford (NSW)",5112
"Abercrombie",1011
"Aberdare",2410
"Aberdeen (NSW)",2039
"Aberfoyle",233
"Aberglasslyn",2857
"Abermain",2322
"Abernethy",221
"Acacia Gardens",3681
"Adaminaby",226
"Adamstown",5642
"Adamstown Heights",5174
"Adelong",885
"Agnes Banks",826
"Airds",3507
"Akolele",132
"Albion Park",12872
"Albion Park Rail",7003
"Albury",4934
"Aldavilla",1154
"Alexandria",7050
"Alfords Point",3303
"Alison (Dungog - NSW)",291
"Allambie Heights",6742
"Allandale (NSW)",305
"Allawah",5367
"Allgomera",149
"Allworth",196
"Allynbrook",217
"Alstonvale",428
"Alstonville",5648
"Alumy Creek",156
"Ambarvale",7213
"Angledale",275
"Anglers Reach",358
"Angourie",184
"Anna Bay",3726
"Annandale (NSW)",8669
"Annangrove",1370
"Appin (NSW)",1803
"Apsley (NSW)",55
"Arakoon",513
"Araluen (NSW)",293
"Arcadia (NSW)",1305
"Arcadia Vale",1381
"Arding",278
"Ardlethan",364
"Argenton",1370
"Argents Hill",387
"Ariah Park",689
"Armatree",284
"Armidale",22468
"Arncliffe",8420
"Arndell Park",12
"Arrawarra",516
"Arrawarra Headland",467
"Artarmon",8642
"Ashbury",3134
"Ashby (NSW)",346
"Ashby Heights",290
"Ashcroft",3308
"Ashfield (NSW)",22189
"Ashford (NSW)",885
"Ashley",339
"Ashmont",4024
"Ashtonfield",4382
"Asquith",3474
"Attunga",769
"Auburn (NSW)",33122
"Austinmer",2452
"Austral",3023
"Avalon (NSW)",10602
"Avoca Beach",4319
"Awaba",352
"Aylmerton",249
"Baan Baa",525
"Backmede",275
"Badgerys Creek",455
"Balaclava (NSW)",417
"Balala",320
"Balcolyn",817
"Bald Hills (NSW)",292
"Balgowlah",7495
"Balgowlah Heights",3268
"Balgownie",5447
"Balladoran",225
"Ballimore",188
"Ballina",7875
"Balmain",9783
"Balmain East",1866
"Balmoral (Lake Macquarie - NSW)",730
"Balmoral (Wingecarribee - NSW)",363
"Balranald",1627
"Bandon Grove",278
"Bangalee (NSW)",804
"Bangalow",1902
"Bangheet",326
"Bangor (NSW)",5620
"Banksia",3231
"Banksmeadow",12
"Bankstown",30572
"Bankstown Aerodrome",15
"Bannaby",210
"Bannister (NSW)",333
"Banora Point",15047
"Bar Beach",1122
"Bar Point",361
"Baradine",762
"Barangaroo",110
"Barcoongere",0
"Barden Ridge",4041
"Bardwell Park",2266
"Bardwell Valley",2205
