locality,municipality,state,postcode,lat,long,bnelat,bnelong,bswlat,bswlong
"Abbotsbury","Fairfield City Council","New South Wales",2176,-33.875000,150.862000,-33.846458,150.876706,-33.883780,150.842448
"Abbotsford (NSW)","City of Canada Bay Council","New South Wales",2046,-33.852150,151.127260,-33.843676,151.137579,-33.857364,151.122186
"Abercrombie","Council of the City of Sydney","New South Wales",2000,-33.864214,151.207809,0.000000,0.000000,0.000000,0.000000
"Aberdare","Cessnock City Council","New South Wales",2325,-32.843287,151.376438,-32.828566,151.398472,-32.849090,151.362085
"Aberdeen (NSW)","","New South Wales",2336,-32.167730,150.873294,-32.122915,150.948159,-32.218055,150.847133
"Aberfoyle","Stirling","Scotland",FK8,56.178672,-4.384603,56.183721,-4.374646,56.175871,-4.401710
"Aberglasslyn","Maitland City Council","New South Wales",2320,-32.694656,151.534608,-32.678130,151.548646,-32.708981,151.514879
"Abermain","Cessnock City Council","New South Wales",2326,-32.816667,151.433333,-32.791645,151.462272,-32.854318,151.409999
"Abernethy","Perth and Kinross","Scotland",PH2,56.332014,-3.313714,56.339699,-3.294350,56.326119,-3.327381
"Acacia Gardens","Blacktown City Council","New South Wales",2763,-33.732200,150.917000,-33.729724,150.921401,-33.738502,150.906198
"Adaminaby","Snowy River Shire Council","New South Wales",2629,-35.996111,148.773889,-35.881270,148.923774,-36.133633,148.620138
"Adamstown","Newcastle City Council","New South Wales",2289,-32.934350,151.725840,-32.927602,151.738994,-32.950755,151.712053
"Adamstown Heights","","New South Wales",2289,-32.947705,151.715180,-32.941078,151.724733,-32.956921,151.693990
"Adelong","Tumut Council","New South Wales",2729,-35.311110,148.065822,-35.275647,148.095776,-35.337527,148.042759
"Agnes Banks","","New South Wales",2753,-33.615290,150.716160,-33.587879,150.725105,-33.648265,150.672615
"Airds","Maitland City Council","New South Wales",2321,-32.703338,151.465838,0.000000,0.000000,0.000000,0.000000
"Akolele","Eurobodalla Shire Council","New South Wales",2546,-36.346611,150.075097,-36.335460,150.095163,-36.363712,150.054728
"Albion Park","Shellharbour City Council","New South Wales",2527,-34.575949,150.773733,-34.562751,150.797077,-34.602266,150.755221
"Albion Park Rail","Shellharbour City Council","New South Wales",2527,-34.566667,150.791667,-34.544906,150.822148,-34.578390,150.771924
"Albury","Albury City Council","New South Wales",2640,-36.073729,146.913542,-36.060881,146.934022,-36.086003,146.897936
"Aldavilla","Kempsey Shire Council","New South Wales",2440,-31.081667,152.767778,-31.055271,152.792595,-31.090463,152.727852
"Alexandria","","Alexandria Governorate",,31.200092,29.918739,31.330904,30.086402,31.117318,29.823370
"Alfords Point","Sutherland Shire Council","New South Wales",2234,-33.984800,151.021420,-33.975781,151.039141,-33.998154,151.013743
"Alison (Dungog - NSW)","Wyong Shire Council","New South Wales",2259,-33.265000,151.398000,-33.250973,151.405650,-33.280896,151.388100
"Allambie Heights","Warringah Council","New South Wales",2100,-33.762400,151.250000,-33.753667,151.267142,-33.785691,151.232845
"Allandale (NSW)","","New South Wales",2320,-32.715000,151.417778,-32.707583,151.439661,-32.741801,151.387224
